Вариант № 20
Метод стрельб

Itr      |	z(0)     |	y(1)     |	Delta       |
        1|	 1.500000|	 2.295063|	2.981870e-01|
        2|	 0.750000|	 1.851447|	1.454288e-01|
        3|	 1.125000|	 2.070503|	7.362697e-02|
        4|	 0.937500|	 1.960285|	3.659046e-02|
        5|	 1.031250|	 2.015221|	1.834546e-02|
        6|	 0.984375|	 1.987710|	9.165533e-03|
        7|	 1.007812|	 2.001455|	4.579255e-03|
        8|	 0.996094|	 1.994580|	2.295785e-03|
        9|	 1.001953|	 1.998017|	1.141063e-03|
       10|	 1.004883|	 1.999736|	2.859991e-03|
       11|	 1.006348|	 2.000596|	3.719581e-03|
       12|	 1.005615|	 2.000166|	3.289776e-03|
       13|	 1.005249|	 1.999951|	3.074881e-03|

x        |	y(x)     |	Ypr(x)   |	z(x)     |	Delta       |
 0.059375|	 1.064888|	 1.064679|	 1.253338|	2.093418e-04|
 0.062500|	 1.068841|	 1.068625|	 1.276564|	2.163121e-04|
 0.065625|	 1.072867|	 1.072644|	 1.300442|	2.230044e-04|
 0.068750|	 1.076969|	 1.076740|	 1.324923|	2.294319e-04|
 0.071875|	 1.081149|	 1.080913|	 1.349961|	2.356069e-04|
 0.075000|	 1.085407|	 1.085165|	 1.375512|	2.415413e-04|
 0.078125|	 1.089746|	 1.089499|	 1.401531|	2.472463e-04|
 0.081250|	 1.094167|	 1.093914|	 1.427974|	2.527326e-04|
 0.084375|	 1.098671|	 1.098413|	 1.454799|	2.580102e-04|
 0.087500|	 1.103260|	 1.102997|	 1.481965|	2.630886e-04|
 0.090625|	 1.107934|	 1.107666|	 1.509430|	2.679772e-04|
 0.093750|	 1.112694|	 1.112421|	 1.537154|	2.726844e-04|
 0.096875|	 1.117541|	 1.117264|	 1.565100|	2.772185e-04|
 0.100000|	 1.122476|	 1.122195|	 1.593228|	2.815873e-04|
 0.103125|	 1.127499|	 1.127213|	 1.621500|	2.857983e-04|
 0.106250|	 1.132611|	 1.132321|	 1.649882|	2.898585e-04|
